product_average_rating,product_reviews_count,product_url,product_orignal_price,product_sale_price,product_discount,product_image,product_brand,product_name,product_brand_id,product_sku,seller_name,seller_percentage,seller_rate,seller_rate_level,seller_seller_id,seller_shipment_time,seller_url
0.0,0,https://www.daraz.pk/products/-i271604546-s1484836014.html?search=1,365.0,343.0,-6%,https://static-01.daraz.pk/p/8646445a0f538d7a527da55e46a8f834.jpg,No Brand,"FREE FIRE T Shirt For Men & Women, Round Neck Half Sleeves T-Shirt",39704,271604546,amjad store 1643017839,91%,0.91,3,6005016192375,93%,//www.daraz.pk/shop/amjad-store-1643017839/?itemId=271604546&channelSource=pdp
4.2,20,https://www.daraz.pk/products/vinyl-stay-strong-gym-summer-printed-tracksuit-for-men-tshirt-and-trouser-i271984899-s1485085283.html?search=1,1500.0,1092.0,-27%,https://static-01.daraz.pk/p/8770b7e1aab07891cb32d184d2ed3363.jpg,No Brand,Vinyl Stay Strong Gym Summer Printed Tracksuit For Men (Tshirt and Trouser),39704,271984899,Storish.pk,88%,0.88,3,6005012373103,100%,//www.daraz.pk/shop/storishpk/?itemId=271984899&channelSource=pdp
4.0,46,https://www.daraz.pk/products/pack-of-5-mens-plain-t-shirts-round-neck-half-sleeves-shirt-i227916368-s1448350491.html?search=1,1449,1362,-6%,https://static-01.daraz.pk/p/d8cdcebcd931ef56757404800b2108f6.jpg,No Brand,Pack Of 5 Mens Plain T Shirts Round Neck Half Sleeves Shirt,39704,227916368,Salaar Store,85%,0.85,3,6005011779503,97%,//www.daraz.pk/shop/salaar-store/?itemId=227916368&channelSource=pdp
4.3,79,https://www.daraz.pk/products/2-i268120072-s1482710371.html?search=1,999,599,-40%,https://static-01.daraz.pk/p/42e8cd5c9860d410289c56ff6f345ef2.jpg,The Vintage,The Vintage clothing pack of 2 premium plain basic half sleeves t shirt,289138,268120072,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=268120072&channelSource=pdp
4.3,6,https://www.daraz.pk/products/latest-design-two-color-stripes-full-sleeve-t-shirt-i358470825-s1801607630.html?search=1,950,750,-21%,https://static-01.daraz.pk/p/f5839600af0b319edce8db0769167c7c.jpg,No Brand,Latest Design Two Color Stripes Full Sleeve T Shirt,39704,358470825,MA K store,90%,0.9,3,1115716,97%,//www.daraz.pk/shop/online-shopping-1572288897/?itemId=358470825&channelSource=pdp
5.0,3,https://www.daraz.pk/products/cr7-i358510449-s1801694020.html?search=1,1999.0,1424.0,-29%,https://static-01.daraz.pk/p/c3aaed464860eaf7f518a3cdb237a358.jpg,No Brand,Black CR7 Printed Cotton Tracksuit Trouser & T Shirt For Men,39704,358510449,Leather freaks,83%,0.83,3,1093117,73%,//www.daraz.pk/shop/leather-freaks/?itemId=358510449&channelSource=pdp
4.2,27,https://www.daraz.pk/products/2-i268120144-s1482700952.html?search=1,999,599,-40%,https://static-01.daraz.pk/p/646e48d5c4ea907315353ae47fbd7764.jpg,The Vintage,The Vintage clothing pack of 2 premium plain basic half sleeves t shirt,289138,268120144,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=268120144&channelSource=pdp
5.0,2,https://www.daraz.pk/products/-i377621590-s1863796546.html?search=1,1000,449,-55%,https://static-01.daraz.pk/p/5d1a2a33d52b10a44b9c7a2f05ede41e.jpg,#Favourite,"Round Neck Full Sleeve T-Shirt for Men, Basic Round Neck Full Sleeve T-Shirt for Boys",124438035,377621590,Texas Society,87%,0.87,3,6005033880659,100%,//www.daraz.pk/shop/z1pgsksv/?itemId=377621590&channelSource=pdp
5.0,7,https://www.daraz.pk/products/4-i354246595-s1787558418.html?search=1,1600,1299,-19%,https://static-01.daraz.pk/p/92f7324b4707c2df89a9d634ff144f0f.jpg,The Vintage,The vintage clothing pack of 4 premium printed T shirts,289138,354246595,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=354246595&channelSource=pdp
4.4,7,https://www.daraz.pk/products/-i261650061-s1479609906.html?search=1,800,421,-47%,https://static-01.daraz.pk/p/18ec1e66e46132b26be882389412630e.jpg,No Brand,electricity-logo design style - full sleeves T shirt for men & young boys,39704,261650061,Saving Shops,81%,0.81,3,6005014473008,100%,//www.daraz.pk/shop/saving-shops/?itemId=261650061&channelSource=pdp
